,text,user,location,Sentiment_Polarity,Expression Label
667,"@realDonaldTrump @PeteHegseth @seanhannity it seems like the only one that did poorly in the republican party was trump , i wonder how many people voted republican down the ticket , but vote Biden instead of trump ?",ed_pilbeam,,-0.013888889,negative
668,"RT @kenolin1: Dear @realDonaldTrump,
Just a reminder:
You can’t go home again. 
-New York",jan78630191,,0.136363636,positive
672,"@GeraldoRivera @realDonaldTrump Now ask yourself @GeraldoRivera, you've done many a ""shock tv"" show in your day.  Does THIS WHOLE THING sound like the rantings of a SANE AND HONEST person?",omarcunningham1,"Los Angeles, CA",0.425,positive
673,"@merrill2n @Robin_Blue19 @FoxNews I consider about half of the 2020 deficit spending as response to pandemic as bi-partisan. 

A good portion of other half was result of @GOP and @realDonaldTrump 2017 Tax Cuts that weren’t paid for by promised economic expansion that didn’t generate tax revenues as advertised.",ScottUhlTX,"Dallas, TX",0.088333333,positive
677,"@DanScavino @realDonaldTrump WOW!
Trump's hand-picked Federal Election Security Executive confirms that this was the most secure election in US History. 
Benjamin Hovland will probably be fired on Monday, if not over the weekend. 
I think he deserves a The Profile in Courage Award. 

https://t.co/pGP3ERxfNU",rickysteele,"Atlanta, Georgia",0.341666667,positive
678,@momochong77 @USABikerLeather @marshfosb30 @HKrassenstein @realDonaldTrump Hey uh you should learn how to spell first before you attempt to troll 😂,bigpinkboot,,0.25,positive
679,"@realDonaldTrump I’m shocked that you, the outgoing president, are America’s most urgent national security risk right now. Just GO!!",MissMou90415088,,0.082142857,positive
680,RT @RandPaul: I am very pleased @realDonaldTrump asked my friend Col. Doug Macgregor to help quickly end the war in Afghanistan. This and o…,dcepa,,0.491666667,positive
681,RT @ProjectLincoln: Today would be a beautiful day for @realDonaldTrump to concede.,mrsblack777,Northwest,0.85,positive
682,@realDonaldTrump You're high,lynngold27,"San Francisco, CA",0.16,positive
684,"@DanScavino @realDonaldTrump 71 million 😭 that’s a lot of #MAGATears good luck 2024!

71 million 😭 that’s a lot of #MAGATears good luck 2024!

71 million 😭 that’s a lot of #MAGATears good luck 2024!

71 million 😭 that’s a lot of #MAGATears good luck 2024!",skinnypoo72,United States,0.875,positive
685,@realDonaldTrump You should really consider standup comedy. 😂😂😂 https://t.co/JNFT4FQ4NH,busa_baby13,,0.2,positive
686,@realDonaldTrump @PeteHegseth @seanhannity Stay strong Mr. President!  We are with you NO MATTER WHAT!!!  We love you!,CColravy,,0.8125,positive
687,@realJuanCaro @JoeBiden @realDonaldTrump @POTUS Ok what's Trump doing exactly? If hes doing something right id like to know what. You lot keep saying the same things without real  proof.,craftylamnidae,The Mariana trench probably.,0.247142857,positive
689,"@BrianKarem @realDonaldTrump HAHAHAHAHAHAHA I Fucking love this. I could watch this 100,000,000 and never stop laughing 🤣🤣🤣🤣🤣😭😭😭😭",JayGabr86917151,,0.5,positive
691,@realDonaldTrump @PeteHegseth @seanhannity Exactly we love our POTUS! That’s why we need you!,RoseLeo68318007,,0.78125,positive
696,"@realDonaldTrump Trump scares the democrat's because he can't be pushed around, he can't be bought.  the American people love him because he cares.",laurie_castaldo,,0.25,positive
697,@Notmyna93094624 @hoodietrades @DPWIMM @realDonaldTrump The love to sit around and make up things in their heads. Poor people been conned by a man who admitted in court that he faked a university.,Dbaibai78,,0.05,positive
698,RT @AynRandPaulRyan: @realDonaldTrump OMFG LOLOL forever. You should do standup. https://t.co/XYUepRCX1S,MissAngSays,"California, USA",0.8,positive
700,@stephenjleblanc @TonyPaul45 @ShirleyMArmenta @realDonaldTrump Not hard to tell that you’re the racist.,DavidHi17301137,"McCurtain, OK",0.145833333,positive
701,@eugenegu @realDonaldTrump @PeteHegseth @seanhannity Worst thing that happened. Trump was president of the USA,BassBear1,,-1,negative
704,"RT @michellemalkin: ""This administration will NOT be going into a lockdown. Lockdowns cost lives. The cures cannot be worse than the proble…",Eng_khalil_,,-0.4,negative
705,@realDonaldTrump @PeteHegseth @seanhannity Go to bed you pathetic old man.,Rogersj1980,"Indiana, USA",-0.45,negative
706,"RT @Donna776477: @SidneyPowell1 @realDonaldTrump @RudyGiuliani @BernardKerik @replouiegohmert We know this because of WikiLeaks. 
Free Juli…",Rockwell777,,0.4,positive
707,@GetaGripDumbass @MonSelecka @the_resistor @realDonaldTrump Exactly!  We can make a better society!  We can help each other!  Let's really make America great!,erexford,"Chicago,  (Oak Park)",0.39625,positive
708,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers an update on Operation Warp Speed https://t.co/6UQ0SZMsCQ,BARB4TRUMP,"California, USA",0.136363636,positive
709,@seanhannity @kayleighmcenany She had nothing worthwhile to say.  Doesn’t change the outcome in PA as margin is large enough. @realDonaldTrump lost Kayleigh.  It’s over and putting national security at risk by not starting the transition.   Archive your files and get ready to move out of your office. https://t.co/SzwXEIxPgX,buckeyebanker,"Medina, OH",0.182857143,positive
710,@mirtial @BoobersB @realDonaldTrump @OSeanessyTweet @greggutfeld @FoxNews Hardly He listened to liberals... https://t.co/Z716tXXizV,DrRoyATeelJr,"Los Angeles, CA",-0.291666667,negative
712,@realDonaldTrump When despair meets desperate... it just creates sad state #ChillDonaldChill,hharan90,"Chennai, India",-0.55,negative
713,@TrumpVoterWTF @realDonaldTrump @PeteHegseth @seanhannity Truly inspiring.,UnitedStrike3,United Kingdom,0.5,positive
714,@DanScavino @realDonaldTrump Why you are the best president ever,Christi72195406,,1,positive
716,RT @manchogagog: @realDonaldTrump @PeteHegseth @seanhannity Mr. President you are stronger than you know! You have so many warriors behind…,Bjl43640150,,0.5,positive
717,"@ecocentrism1 @gaydinocosplay @causeylauren89 @realDonaldTrump His concession or lack thereof is meaningless, dude. The law and the Constitution say January 20 he's a squatter, not a president, and President Biden has every right to have him arrested and thrown out.
He lost. Get over it.",davidlwashburn,"Tacoma, Washington",-0.107142857,negative
719,"@realDonaldTrump @BrianKempGA Remember in ‘16 when you called the Democrats cry babies and sore losers because they claimed fraud?! You are doing the same thing; such a hypocrite. What was that one line of yours, “stuffing their coffers”. I voted for you then and have been regretting it for 4 years.",Pili3Pili,"Milwaukee, WI",-0.083333333,negative
721,"@realDonaldTrump @POTUS @kayleighmcenany @Mike_Pence @SecPompeo @WhiteHouse “And we know that all things work together for good to them that LOVE GOD, to them who are THE called according to HIS purpose Romans8:28” -“Be on guard; stand firm in the faith; be courageous; be strong”",futurevention,,0.358333333,positive
722,RT @gtconway3d: Does a delusional psychopath with a nuclear arsenal meet the standard set forth in D.C. Code § 21–541?  Asking for a few bi…,MarcSargent7,"Atlanta, GA",-0.1,negative
727,@realDonaldTrump @PeteHegseth @seanhannity Live scenes from the Oval Office https://t.co/lofsbBxC6L,MalcolmDavidSt2,,0.136363636,positive
729,@JennaEllisEsq @realDonaldTrump @billmaher Watching these Triggered Leftist have meltdowns is 💯% entertaining.,RealRogueCajun,,0.225,positive
730,RT @neal_katyal: This is his best legal claim yet.,JohnChellappa2,,0.6,positive
735,@kellybowmanking @slim_reaper2k @HKrassenstein @realDonaldTrump @BrianKempGA Really? Take a look in the mirror. Now THAT'S  pathetic.,TheMerc25459952,"Washington, USA",-0.4,negative
737,"@AynRandPaulRyan @realDonaldTrump Why are all of you democrats so mean, degrating and hurtful? This is really a war here, Good verses Evil! You've clearly shown your path. I'm sorry for you that you've taken it. You can always turn around at the fork!",alysiawalkupyah,"Cedar Park, TX",-0.15625,negative
742,"@realDonaldTrump Fight fight fight! It’s what you’re good at, KAGA 🤘🏻🇺🇸🇺🇸🇺🇸",noahsmitty96,United States,0.7,positive
745,"RT @JuddPDeere45: THIS IS HUGE: Because of the leadership of @realDonaldTrump and Operation Warp Speed, there will be enough vaccine dozes…",nana2nana4,,0.2,positive
750,"@realDonaldTrump Donnie Dimple, please give your attorney's this vital information. It's costing American taxpayers millions and the sooner your prove your case, the better for all. @realDonaldTrump https://t.co/GAuqghTC2g",princip1099,,0.2,positive
754,"@realDonaldTrump All of his ""I won this election"" banter is making it worse for him. Just concede, make it easier on you and the American people. He lost just admit it there is no creditable evidence of voter fraud.",sean67735813,,-0.2,negative
755,"RT @davidmweissman: @realDonaldTrump People are dying under your watch, please shut the fuck up and concede. #ConcedeNowTrump 
https://t.co…",oddvice,,-0.4,negative
756,@Mom5960 @DanScavino @realDonaldTrump Ole Mom bored tonight,eyeball20,"Maryville,TN",-0.5,negative
760,@realDonaldTrump 306 electoral college votes.  Joe Biden wins in a LANDSLIDE!!!!,nectir,PA,0.732421875,positive
763,@realDonaldTrump endorse me I need to win,SheldonHayes10,"Boston, MA",0.8,positive
764,"RT @michellemalkin: ""This administration will NOT be going into a lockdown. Lockdowns cost lives. The cures cannot be worse than the proble…",scuttigirl,,-0.4,negative
766,@realDonaldTrump Are y’all reading this and starting to realize that maybe everything this dork has been saying the last 5 years might just be a load of bullshit just like this obvious lie? Welcome to reality.,PWA_1970,"Oregon, WI",0.2,positive
767,RT @th3j35t3r: .@realDonaldTrump - Don't get too down on yourself. It could be that your life happened only to serve as a warning to others…,HabitualGypsy,Seattle (-ish),-0.077777778,negative
771,"@mbell000 @rosamerdo @AshleySoShy @BobbyReagan2 @DwayneNeal12 @Marlo_Rees @Kristie14820841 @HKrassenstein @realDonaldTrump “It’s more than 3 votes.”

Only you and Trump say that. And Trump won’t even say that in court.

Besides, if he concedes and they find 500k fraudulent votes, he can rescind it. 

There is literally NO reason not to concede and begin the transfer except to be an ass.",BenRiversTweets,,0.25,positive
772,@realDonaldTrump No... this is NOT what the judge said AT ALL ... good God  .,RenegadeState,,0.7,positive
774,"@realDonaldTrump Those States should have to revote period.  Go out and vote, be seen and heard legally.....",Rebecca80781597,,0.2,positive
775,"@binkyba @JuddPDeere45 @realDonaldTrump Broaden your horizons. MSM gives half-truths, which is evident with your tweet.",Samanth24134184,The Right Side ,0.25,positive
776,"WHO CREATED THIS GLOBAL THIS CHAOS IN THE WORLD MUST BE CRIMINATED FOR MASSACRE, TERRORISM, CRIMES AGAINST HUMANITY AND HIGH TREASON 
@realDonaldTrump @FLOTUS @IvankaTrump
@DonaldJTrumpJr @EricTrump @VP #USA #COVID #Italy #USNavy #USMarineCorps #us_navyseals #USMarshalsHQ 
🗽🚀👍 https://t.co/pmcwnP3BBn",justicefreedomQ,"New York, USA",0.08,positive
777,"RT @TheDemCoalition: .@realdonaldtrump lost by a landslide. 

Have a great Friday the 13th!",vickiemjb,"Tucson, AZ",0.4,positive
778,"RT @stuartpstevens: “Syphilis can invade the nervous system at any stage of infection, &amp; causes a wide range of symptoms, including headach…",stroyer,Silicon Valley,-0.1,negative
779,@StopherBuck @realDonaldTrump Boy are you in the dark,WChrisH,"Bloomington, IN",-0.15,negative
780,@realDonaldTrump They will escort your ugly ass out! https://t.co/lJiKfLGcOj,Alla20213,"Florida, USA",-0.875,negative
781,@FordFizzle @realDonaldTrump @PeteHegseth @seanhannity It's already over internationally. We're a laughing stock. We have lost the right to tell anyone else how to do anything. Dude's a cum stain on the fabric of America and it ain't never coming off.,JeffStauffer13,,0.142857143,positive
782,RT @cenkuygur: You know why @realDonaldTrump named @RudyGiuliani as the head of his legal team in fighting the results of the election? Bec…,_GreatBike_,#IL13,0.2,positive
783,@goatpard @realDonaldTrump That’s great. Get packing!  See ya!,Pelleas1,"Lincoln Square, Manhattan",1,positive
784,@IvankaTrump @realDonaldTrump That's really good work,AakelR,gujarat. ,0.7,positive
785,@JoDiHa70 @BalihiMaiTai @Infantryriflem4 @mmpadellan @realDonaldTrump yeah except for that he has provided evidence which I already listed. and the fact that states are doing audits. are you really that thick in the skull to believe that this was not a bogus election.,Trevor04934798,,-0.05,negative
786,@DanScavino @realDonaldTrump All I see is a failure.,DumpsterFyree,,-0.316666667,negative
787,@realDonaldTrump @EricTrump @DonaldJTrumpJr @IvankaTrump good buy you loser grifter family 😂😂😂😂 https://t.co/7lhrfnIdD3,karkarlisaolco1,"Illinois, USA",0.7,positive
789,@DanScavino @realDonaldTrump History will remember you only slightly less than Chester A. Arthur.,RobbiesHat,Spaceship Earth,-0.083333333,negative
792,"RT @richsignorelli: . @jack  @Twitter @TwitterSafety 
The false tweets of @realDonaldTrump serve no public purpose and endanger our democra…",ElkenBill,,-0.2,negative
797,@BrandonStraka @IngrahamAngle @realDonaldTrump @DonaldJTrumpJr @EricTrump Unbelievable !!  May God Have Mercy On Their Souls !!,BruceFCard,"Brea, CA",-0.610351563,negative
799,@SaraCarterDC @realDonaldTrump I think that the current GOP is full of good ole boys that are swamp creatures....... you can see the ones that aren’t backing their President. Karma will be in their future,Keithan40238845,"Illinois, USA",0.2625,positive
801,"January 20th people, Biden takes over and the Trump nightmare is over. God willing we will come together and never again elect another narcissistic psychopath. https://t.co/a15ciQJudM",Rachels_Ratchet,"California, USA",0.35,positive
802,@realDonaldTrump @PeteHegseth @seanhannity Mail in ballots are legal...submitted by real Americans. You know that right?,RuthMit38658756,,0.242857143,positive
803,RT @RexHuppke: This account is now being run by a random word generator that recently fell down a flight of stairs.,BrendaVanWart,"florissant, co",-0.218518519,negative
804,"@realDonaldTrump @BrianKempGA I love how twitter insists on putting warnings on this.  There are literally millions of people getting his tweets and countering them with their own free speech.  Yet twitter insists on making itself a fool by doing this.  Do they do this with Democrats, communists or terrorists",Deplorable1619,,0.5,positive
807,@TheRealHoarse @DFire45 @realDonaldTrump I like your phrasing better,Strix_Nocturna,,0.5,positive
808,"RT @JennaEllisEsq: It’s a good day to defend election integrity, the U.S. Constitution, and our great President @realDonaldTrump!!

Tune in…",ScottHermes5,,0.85,positive
809,@realDonaldTrump To all the never Trumpers in the comments. Why do you think President Trump is winning in court? Why are the dems so scared of an election audit? Why are tens of thousands of Americans coming forward with evidence of election fraud? Why do you hate America so much?,GratefulSerp,"Boston, Ma.",-0.033333333,negative
811,"@Bytormsa @realDonaldTrump Your doctor didn't tell you shit. 
I don't even need to write up why that's wrong, you're just making yourself less worth acknowledging by the tweet.",aridiculouslife,Earth,-0.141666667,negative
812,@smc429 @realDonaldTrump kinda curious what route the other 8% chose LMAO,CrazyHappyFun1,,0.125,positive
815,RT @eugenegu: @realDonaldTrump Stop making false accusations about our free and fair elections. You lost. Deal with it and stop crying like…,1upsetcitizen,"Orlando, Fl",0.125,positive
816,@debette_goldry @Bogs4NY @realDonaldTrump You mean dont the Dems have enough deaths. Dont forget it was Cuomo shipping off sick people to nursing homes,FinnyMathew5,,-0.342261905,negative
820,@DanScavino @realDonaldTrump Good bye!,Duffynow,"East Hartford, CT",0.875,positive
824,RT @dylanobrien: Yo @Twitter wtf? DELETE his account. You are providing a massive platform for propaganda that directly threatens our democ…,ailuj_isa,Moon 🌙 she/her,-0.125,negative
825,"@RepDougCollins @realDonaldTrump Trump is a liar. You may have fallen for him but he has always lied to you. You might love him but he doesn't care if you die... literally. Come back to truth and walk away from the fear mongering facist. 
https://t.co/fcq9k3U2gq",SherylBarnesMP,"Rocky Ford, CO",0.25,positive
826,"RT @maddiewalker: @PuestoLoco @realDonaldTrump This “proud boy” rally happening in D.C. this weekend, could be a trap to Declare a State of…",JrHollis60,,0.8,positive
829,@realDonaldTrump @PeteHegseth @seanhannity how the fuck do you ferociously count a vote,SportsSportsSp5,,-0.4,negative
830,@RKJ65 @realDonaldTrump The guy who scheduled a presser between a porn shop and a landscaping place  with a view of a crematorium?  What could possibly go wrong?? 😂😂,dotie214,,-0.5,negative
831,@redbird1031 @HKrassenstein @realDonaldTrump @BrianKempGA Trump supporters are stone cold crazy.,greenberg_david,,-0.6,negative
833,@Franklin_Graham @realDonaldTrump How about putting God first. Where is your Christianity?,Thereal12pt,,0.25,positive
835,@burk_lu @realDonaldTrump @PeteHegseth @seanhannity You don't seriously support him do you?,KenLamb10,,-0.333333333,negative
838,@DanScavino @realDonaldTrump This is hilarious to watch. Just in case no one told you the election is over..YOU LOST.,dicsmedia,,0.5,positive
839,@realDonaldTrump @PeteHegseth @seanhannity You’re beating a dead horse. The election is over. Every legitimate and timely vote has been counted.,Michael93105,"Santa Barbara, CA",-0.2,negative
841,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers an update on Operation Warp Speed https://t.co/6UQ0SZMsCQ,Zakkydo,,0.136363636,positive
843,@realDonaldTrump LOL. First you've lied to them in 2016 now they are returning the favor and lying to you hoping to profit from the situation. Typical banana republic stuff. Keep dreaming!,commodore997,NYC/Dyker Hts.,0.280555556,positive
846,@realDonaldTrump This is really pathetic.,DebJHolley,NC,-1,negative
848,RT @HKrassenstein: @realDonaldTrump Make America Great Again by letting Joe Biden take over!,JudiLedgard,"Arkansas, USA",1,positive
849,RT @SenKevinCramer: President @realDonaldTrump’s executive action protects our investors and ensures American dollars aren’t funding Chines…,marytsangsiu19,,0.05,positive
850,@sociala36205567 @rreczulski @HKrassenstein @realDonaldTrump This is a fake account a Chinese bot,bigkebb,,-0.25,negative
852,@DanScavino @realDonaldTrump Didn't hitler have propaganda like this?,NavyNana2,Planet Earth,-0.1,negative
854,"RT @KevinHarley5: With what is happening in the Pennsylvania court, it is becoming quite clear the @JoeBiden is about to officially lose hi…",patchwerkjr,"Wisconsin, USA",0.275,positive
855,Fortunately the only ones betting against President @realDonaldTrump are the ones that tried to defeat him by cheating. https://t.co/LbkFpbH1wA,CraigSh8,,0.2,positive
856,"Now that I know that he has no idea what's in the Constitution, the last four years make so much more sense https://t.co/XjyZxSn3ej",tristin_rice,,0.25,positive
857,"@realDonaldTrump @PeteHegseth @seanhannity This is the only reason he's fighting so hard. 

https://t.co/UFVSXK4ljO",TradesHank,"O’Fallon, Illinois",-0.145833333,negative
858,@DebDunlap6 @realDonaldTrump @PeteHegseth @seanhannity Oh goodie. Another cultist with a YouTube video. That must be more significant than all the judges in all the courts and all the election officials including the ones who voted for Trump and the Department of Homeland Security all saying there was no fraud.,JoeK3Fan,Somewhere close. Nice shirt.,0.4375,positive
863,@realDonaldTrump @PeteHegseth @seanhannity Exactly. Worst thing they can do! 👊🏻 💥 ❤️🇺🇸🙏🏻,StephanieS78,"Litchfield Park, AZ",-1,negative
865,"RT @Real_AmakaIke: Some Nigerians said that they hate @realDonaldTrump because he refused to sell arms to human right abused @NigeriaGov,bu…",VivianUgo6,,-0.171428571,negative
867,RT @CaslerNoel: Trump said today: “I will not be going to a lockdown” who wants to explain to him how prison works? @realDonaldTrump,MaryAnn58697491,"Oregon, USA",0.2,positive
868,"@DanScavino @realDonaldTrump Is this suppose to confuse people into thinking trump is a decent guy cause, way too little way too late.",DeltaAdapt,,-0.106944444,negative
869,"@TravisAllen02 @RepThomasMassie @realDonaldTrump @Snowden @RealRossU These are heroes, Travis.  You are a victim of media propaganda.  They control your mind and only you can choose to escape this ignorant place you have found yourself.",chris73876760,,-0.058333333,negative
871,@robbystarbuck @realDonaldTrump @KathyBoockvar Recounts cost $$$.  Trump is welcome to pay for a recount.,mfwooten1,www.beautyatyourtips.com,0.8,positive
872,@DanScavino @realDonaldTrump It would be great to see president among the people tomorrow but worried about his safety.,Gustavo16401205,,0.8,positive
873,RT @Mike_Pence: It was President @realDonaldTrump’s vision that we could harness the ingenuity and creativity of America’s greatest pharmac…,1youichi,,1,positive
874,"@TravisB93937382 @hnnhrmrz @yeast_boi @bizer_official @rossignal171 @ChefTwixHimself @DPWIMM @realDonaldTrump A joke about sexualizing his daughter?! Lmao just like he was being “sarcastic” about putting disinfectant in the body, because a news conference addressing an international emergency is the time for sarcasm.",JohnVoytsCar,,0.233333333,positive
875,RT @kylegriffin1: @TomiLahren @realDonaldTrump You can't be a silent 'majority' when you lose the election and lose the popular vote by mor…,BoogidFfskw2002,"Alaska, USA",0.3,positive
876,RT @HKrassenstein: @realDonaldTrump The voting system was perfectly fine.  It was determined to be human error.  Just give up.  You lost an…,Chriscatty,UNITED STATES,0.208333333,positive
879,RT @gfrank01: @FernandoAmandi @realDonaldTrump @VP In Venezuela we had a bad experience with Carter. Every time Chavez needed help to impos…,RaulAHansen,,-0.7,negative
881,@DanScavino @realDonaldTrump President trump we love you and we still believe in you!,firemandan0825,,0.625,positive
882,"RT @littledeekay: @realDonaldTrump Stop forcing yourself upon this country as if we are one of the many women you assaulted, asshole.",longislandtonv,"Henderson, NV",0.5,positive
883,@Mariahlovely5 @sallyjuju23 @FrankAmari2 @realDonaldTrump @BrianKempGA @SenateGOP @HouseGOP So you will have innocent children getting hurt trying to desegregate schools. But if you have people willing they won’t get hurt. And you can avoid a racial jungle aka race wars from unwilling whites.,InJailOutSoon24,,0.375,positive
884,@DanScavino @realDonaldTrump Trump: fails at everything. Hates to be a loser because of his father. Destroying the country to keep from looking weak.,flush_trump,"Pittsburgh, PA",-0.358333333,negative
889,RT @ProjectLincoln: Today would be a beautiful day for @realDonaldTrump to concede.,Marianne_1960,"Pacifica, CA",0.85,positive
891,@realDonaldTrump - Grump.. shame on you!! Whining about the election when the pandemic is getting worse and more people are dying just because you are pissed that you had lost the election... well too fucking bad! People know you suck! Time to leave!!,Marek_25_,,-0.3,negative
892,"@thevivafrei @realDonaldTrump Then the day you come across evil or what will kill you, don't speak against it for the fear of people like you calling it hate. Encourage it, cuddle it. Since you don't realize that speaking against something that isn't right isn't hate. Sit this one our for a while....",nunce7,,-0.578571429,negative
893,@realDonaldTrump Nice 👌 👌 👌 👌 👌 👌 https://t.co/fmIHj1sJwT,aubrgin,eternal clown hell,0.6,positive
897,RT @Mike_Pence: It was President @realDonaldTrump’s vision that we could harness the ingenuity and creativity of America’s greatest pharmac…,risa1108,Texas,1,positive
899,"@realDonaldTrump Shame on you for ignoring our legal vote/democracy/constitution.  You are incompetent, inept. 

You lost the electoral vote as well as popular vote. YOU LOST",janesnage,#Resist,0.15,positive
900,@MitziMcClain @realDonaldTrump There has been no Voter fraud. None. The presidents own lawsuits acknowledge they have no evidence of voter fraud. Please stop lying.,BrotherRabbit4,,0.6,positive
901,"@KanakaNative @LeandroMiguez4 @LisaBra01432017 @WalkerRube @MilitarySkeptic @realDonaldTrump @PeteHegseth @seanhannity And all of Trump's votes were legal, right?  Ridiculous ppl",Fleeyonce,,0.050793651,positive
902,"@realDonaldTrump I don't like people that lose elections by a lot, 306, damn u got crushed.",mariog984,,-0.1,negative
903,Thank you so much @realDonaldTrump   We are so thankful for you. You are in our prayers. https://t.co/8BKhRrMAE0,RCBurns3,PA USA,0.2,positive
904,"@realDonaldTrump @BrianKempGA By that logic, u won all 50 states, right?? Every time u tweet about rigged elections, u look worse and it’s funnier every time now. Lol",TheSikorskiChop,"New Jersey, USA",0.228571429,positive
907,@realDonaldTrump @PressSec Your tears are delicious.,DA09723965,,1,positive
909,"@bigkebb @geib_dennis @HKrassenstein @realDonaldTrump Not going to happen, he’s a crybaby who only cares about himself.  Always has and always will.  Look at him now, he’s pouting like a child.  Very pathetic!",jaybronk321,"Denver, CO",-0.5,negative
911,@BarbiCannabis @cincinnatus101 @realDonaldTrump Hey stoner. Do you realize you liked your own tweet? https://t.co/xo80eEnixV,Oldymcdusty,"Rhode Island, USA",0.6,positive
913,Hey @realDonaldTrump it’s time to CONCEDE (or not whatever)- either way @JoeBiden is the president now jackass - #ByeByeTrump #BidenHarris2020 https://t.co/HxngqaafYb,MHDavisNewYork,Upstate New York ,-0.5,negative
914,"@realDonaldTrump @BrianKempGA Stop crying you little bitch, man up!!",motochefmike,"North Vancouver, British Colum",-0.246484375,negative
916,"@realDonaldTrump @PeteHegseth @seanhannity How many more times do you have to lose?
https://t.co/Z0GfLiU8Ou",TomThum83280870,,0.5,positive
918,RT @Edu_DavidCh: @realDonaldTrump I’d rather see Biden indicted on alleged money laundering connections than falsely labeled as “President…,missy_zaccaro,United States,-0.25,negative
920,"@SovMichael @realDonaldTrump @PeteHegseth @seanhannity Sounds like a suckers bet, you lose bet on that!!",RonaldKBryson2,,-0.46875,negative
921,@AdamParkhomenko Pathetic. @realDonaldTrump needs psychiatric help.,DouglasNudibra1,,-1,negative
922,RT @WhiteHouse: LIVE: President @realDonaldTrump delivers an update on Operation Warp Speed https://t.co/6UQ0SZMsCQ,janesmi40409383,,0.136363636,positive
923,"@DanScavino @realDonaldTrump WOW!
Trump's hand-picked Federal Election Security Executive confirms that this was the most secure election in US History. 
Benjamin Hovland will probably be fired on Monday, if not over the weekend. 
I think he deserves a The Profile in Courage Award. 

https://t.co/pGP3ERxfNU",rickysteele,"Atlanta, Georgia",0.341666667,positive
926,"@JennaEllisEsq @RealTimers @realDonaldTrump @billmaher The Constitution plainly states then when you get your white ass kicked in the election, you take it like an adult and not a whimpering widdle baby.",opus17,"Portland, OR",-0.038095238,negative
927,RT @tedlieu: Dear @realDonaldTrump: Your lawyers didn’t even make your ridiculous argument. And the ones they did try were all rejected by…,tomnicholas107,,-0.333333333,negative
928,RT @ShelKel2: @DanScavino @realDonaldTrump Dan Scavino is apparently the fluffer on duty tonight.,jonnypaints,on a mountain north of gotham,0.05,positive
929,@realDonaldTrump ℹ Caution: This motherfluffer is crazy.,MuslimTrumpSad,,-0.6,negative
930,"@realDonaldTrump @BrianKempGA Sadly, our SOS and Governor are both Rinos! Brian Kemp should be ashamed of himself! Us Republicans worked our tails off to get him a victory against that lunatic Stacy Abrams and this is how he repays us? Stand up @BrianKempGA for us now!!",Jbruce991,,-1,negative
931,@Casey88953044 @EmbyRedHead42 @JerryFinin @BlueRobotDesign @DanScavino @realDonaldTrump The mainstream media thrives off of chaos. That's the whole point. Imagine what the left will do when it doesn't go there way. Better prep because trucks won't make it to stores to deliver necessities.,SixJamie,,0.233333333,positive
932,"RT @JuddPDeere45: THIS IS HUGE: Because of the leadership of @realDonaldTrump and Operation Warp Speed, there will be enough vaccine dozes…",amomma1969,"Cleveland, OH",0.2,positive
934,"@realDonaldTrump Are you referring to the ‘not zero’ number of watchers you had? Top tip: arguing that counting didn’t stop when the not zero had bathroom breaks, therefore votes must be thrown out isn’t going to get you far.",B4Susan,,0.3,positive
935,@TLettelleir @cincinnatus101 @realDonaldTrump I’m sure you don’t have any facts for that. So... just one dude’s opinion. Check.,gardenati,Always in motion,0.5,positive
937,@piersmorgan @realDonaldTrump He didn’t win. What’s the problem? If the election was Compromised like DEAD PEOPLE VOTING. Why not figure it out.,ALD4290NY,United States,0.3,positive
938,"RT @Porter_Anderson: Media: @Acosta to @andersoncooper: ""@realDonaldTrump was pretending in this Rose Garden press conference that there's…",gandarahinsonv,"Nashville, TN",0.6,positive
939,@TMikeiavelli @GenXLeftyBroad @stevenorrislive @Leslieoo7 @realDonaldTrump Funny it apparently was for Trump four years ago 🤔,stringslinger,"Newark, DE",0.15,positive
941,"@MikeBlaiz @realDonaldTrump @DonaldJTrumpJr i honestly hope that you can come to be a less hateful person. you seem like fun to be around, but your other videos show how much you hate your fellow americans. maybe these next four years will help idk",calebwirt,i do not care,0.001190476,positive
943,@realDonaldTrump @BrianKempGA If you thought the process was so unfair then why didn’t you change it while you were in office,ElleHenslee,"Montana, USA",-0.5,negative
944,He’s so desperate 😂 https://t.co/ZcMdirQCST,jesscid,"Scotch Plains, NJ 🏡/NYC 🏙",-0.6,negative
947,@GeraldoRivera @realDonaldTrump Sit. Down.,AumuellerK,United States,-0.155555556,negative
949,"@twitter @jack isn't it about time to kick the miserable, lying coward #IMPOTUS off of this platform? He's just President-Unelected... shut @realDonaldTrump down.  It's ridiculous to read the rants of a psychopath. 

tRump is #PresidentUnelected a #FirstTermLoser!",josephandher,Texas,-0.524074074,negative
950,".@realDonaldTrump We have seen the deep state organize itself, well in advance, to carry out the most colossal electoral fraud in history, in order to ensure the defeat of the man who has strenuously opposed the establishment of the New World Order https://t.co/GlCDiZddMP",ArchbpVigano,,0.234090909,positive
952,"@realDonaldTrump @PeteHegseth @seanhannity Mr President, you lost your job but there are 240,000 plus lost their lives because of your mishandling of the pandemic. And God knows how many more will also. Mask helps save lives and the spread of the virus. You lost to a MASK 😷",edwardwctse,,0.5,positive
