,text,user,location,Sentiment_Polarity,Expression Label
456,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Gigomalvasi,,0.25,positive
458,"@Casey88953044 @AfrikanDionysus @professorkrene @BlueRobotDesign @DanScavino @realDonaldTrump So far every suit has been tossed for lack of evidence with one exception that was won, but didn’t affect the outcome. So, yeah. it’s not over until all the pending lawsuits are tossed for lack of evidence and the results are certified, and Joe Biden is confirmed President-elect.",john_kentzel,"Rock Island, IL",0.25,positive
459,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,LifeRTd,,0.8,positive
460,"RT @EdMarkey: With 306 electoral votes secured and a more than five million popular vote lead, Joe Biden and Kamala Harris have buried Dona…",G0THLARRY,boston,0.55,positive
461,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",tammy_dreyer,,1,positive
463,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,zoedegraw1229,"Tallahassee, FL",0.25,positive
464,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",KMBENSON,where it all goes down,0.2,positive
465,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,lucyf3rr,"Houston, Texas",0.25,positive
466,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,cmhc59,"Manchaca, TX",0.25,positive
467,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kathleen_lerma,,0.25,positive
468,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,AigisSimp,,0.25,positive
469,RT @PattyArquette: Joe Biden is our new President. End of story.,RHoppmann,,0.136363636,positive
470,RT @amyklobuchar: Georgia: a win!  https://t.co/A7W8370P4m,111publishing,North America,1,positive
471,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,nicetryeminem,,0.25,positive
475,"@MysterySolvent Two fascist morons walk into the Oval Office.
Joe Biden says ""Fuck outta here""",bgmacneill,,-0.6,negative
476,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,aquariusleogem,,0.25,positive
478,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,baileybabb23,"Fritch, TX",0.25,positive
479,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",mchearne,,0.2,positive
482,"RT @MirsepanjM: Haj Seyed Joe Biden is the president chosen by the fake media, Biden is chosen by Twitter and CNN and globalists, and Faceb…",sheri33005916,,-0.5,negative
483,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,victoriaozelle,CA girl from MI living in La,0.8,positive
484,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,eiilst,,0.25,positive
485,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,liammason298,,0.25,positive
486,@KTLA You watch...Joe Biden will be the laughing stock of the World!! That guys an idiot,JimmyBr90638143,,-0.8,negative
490,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,henchbeaver,"Alaska, USA",0.25,positive
491,RT @kylegriffin1: BREAKING: NBC News projects Joe Biden is the apparent winner of Georgia. @NBCNews,ESpence00496851,,0.05,positive
494,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Matth3wwww,,0.25,positive
495,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,eagarrett14,"Michigan, USA",0.25,positive
496,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,lsesalter,"Seattle, WA",0.25,positive
498,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,valmig3,"Las Vegas, NV",0.8,positive
500,"RT @briantylercohen: I wasn’t initially on board with Trump denying the election results, but watching Joe Biden win again and again, day a…",LazuliLady,Broomtar’s Ohio USA,0.4,positive
501,RT @AdamTexDavis: Is there anything funnier &amp; more pathetic than Donald Trump trying to convince Donald Trump that Donald Trump won an elec…,MTrebaldt,,-0.25,negative
503,"@GRIFTSH0P Naw, he was arrested before Joe Biden’s crime bills and Kamala Harris becoming the DA in California, that’s why he’s not still in jail.",SandWic21664377,Somewhere in the Gulfcoast ,0.175,positive
504,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,KOREANHYBR1D,"Busan, South Korea",0.25,positive
505,"RT @LeeJBBC: Every state has now been called, with a clear win for President-elect Joe Biden. But what’s he like, and what kind of Presiden…",lynn566338601,"Front Royal, VA",0.5,positive
506,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",dbj351_diane,,0.25,positive
509,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",notCurrry,,0.2,positive
510,"Joe Biden is a moron.  So my friend said!   Oh, I’m incline to agree.  This administration wants to tear our country down overnight....   free this.!! Free that,!!!   And us that worm and have contributed for years???  We don’t matter anymore???? WTF do they think they are!?!?!",Patrick50cal,,-0.087644676,negative
512,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,darlin2001,,0.1,positive
513,"RT @CNNSitRoom: Atlanta Mayor @KeishaBottoms says she’s confident that President-elect Joe Biden’s lead in Georgia will hold. “Now, we just…",bcinpaso,Paso Robles Ca,0.5,positive
514,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,iIluminadia,ucf,0.25,positive
515,The perfect activity for a Joe Biden 4-6 week lockdown. https://t.co/Wi98YP3vb4,KristaJohnson1,America ,1,positive
516,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,francescaevigna,"Parkland, FL",0.25,positive
517,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",ejenningsauthor,"Asheville, NC",0.25,positive
518,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",Siid023,"Fortaleza, Brazil",0.2,positive
519,RT @thewalkingtjl: Unpopular opinion: Joe Biden was the only one of the primary candidates who could’ve beaten trump!,LightningDarts,"California, USA",0.25,positive
520,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_Juliahh,,0.25,positive
521,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,nlitchney,"Cleveland, OH",0.25,positive
523,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,bobomac2,"Lyndhurst, NJ",0.25,positive
524,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ChristySmelser,,0.25,positive
525,RT @kylegriffin1: BREAKING: NBC News projects Joe Biden is the apparent winner of Georgia. @NBCNews,occtoys,NC,0.05,positive
526,"RT @KDKA: 🚨NEW PA RESULTS:🚨 

President-elect Joe Biden has now increased his lead over President Trump to more than 60,000 votes in Pennsy…",1aliquippa,"Aliquippa, PA",0.5,positive
531,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,fiesty_democrat,,0.25,positive
532,RT @LifeNewsHQ: Americans will be forced to send hundreds of millions of tax dollars to pro-abortion groups if Joe Biden is elected preside…,donaldarnold191,,-0.3,negative
534,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JKeemie,"Philadelphia, PA",0.25,positive
536,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",SocialistHisoka,,0.2,positive
537,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,Lakesidenorth,Southern California,0.8,positive
538,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,BJeanMohr1,Ohio CD16,0.25,positive
539,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",kittykatamberrr,,0.2,positive
540,"RT @jomalleydillon: 306. Joe Biden, Kamala Harris, the best team in politics, and nearly 80 million Americans did this.",Women4Her,,0.55,positive
543,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,nhc_xx, NY,0.25,positive
544,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,amirettee,"Washington, DC",0.25,positive
545,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,like_a_phoenix5,,0.25,positive
546,RT @NightlyPolitics: Joe Biden won the election with the most votes in American history! Pass it on.,LorettaakaAngel,"N.Riverside,IL.",0.25,positive
547,RT @kylegriffin1: Joe Biden now has more than 78 million votes. That's the largest number of votes won in the U.S. by any presidential cand…,tammy_dreyer,,0.5,positive
548,@GeorgePapa19 Not surprised. Joe Biden did call the military 'stupid bastards'. Idiots would suggest he was joking but Biden wouldn't know a joke unless it was him playing despacito at a latina convention.,Ostergo,,-0.4375,negative
550,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",thetomorrowroom,Chicago...ish,0.5,positive
551,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,connease,"Houston, TX",0.25,positive
552,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Ifrahmaybe,Houston,0.25,positive
553,"RT @cnnbrk: CNN PROJECTION: President-elect Joe Biden wins Georgia, flipping the traditionally red state, and Donald Trump wins North Carol…",uumuumm,Monaco,0.2,positive
555,RT @trashpopsong: I miss joe biden’s team texting me every day. At least someone was https://t.co/4oEBZE47ya,westronnie94,"Columbus, OH",-0.3,negative
557,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,sajellac823,"IE, CA",0.25,positive
558,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,MikeTravisVoice,"Cleveland, OH",0.25,positive
560,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",legacyaford,"New York, USA",1,positive
561,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_AndyMan11,,0.25,positive
562,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",SimplyRodJ,"Odessa, TX",0.2,positive
563,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Only_1_Lliam,"Atlanta, GA",0.25,positive
565,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",ChauncineC,Wisconsin,0.5,positive
567,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,comtese,,0.1,positive
568,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,VotingStraightD,"Chicago, IL",0.1,positive
569,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,KauaiHorses,"Portland, OR",0.25,positive
570,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",brkgnews,Progressland,0.068181818,positive
571,tik tok youtubers charli damelio dixie diamelio bts rm suga v jimin j-hope Jin namjoon yoongi taehyung hobi seokjin big hit entertainment army kpop election donald trump joe biden addison rae kardashians positions ariana grande kylie jenner loren grey https://t.co/PqwQwiHJiP,finelinejackie,she/her • 22,-0.025,negative
572,"RT @catturd2: If you think Joe Biden got 8 million more votes than Barack Obama, pull my finger and I’ll fart Bohemian Rhapsody in E minor.",Macharg,,0.225,positive
573,RT @RealMiniAOC: The only thing that fights harder than President Trump is a child taking a picture with Joe Biden.,melonball28,"Austin, TX",-0.05,negative
575,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",Tedective1,"Pittsburgh, PA",0.068181818,positive
576,"RT @CharlesFinch: I don't ever do ""please retweet,"" but please retweet this if Joe Biden and Chuck Schumer's plan to cancel the first $50,0…",angelangelthree,"Fandom, At-Large",0.25,positive
577,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",Darthrehab,,0.2,positive
578,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,cumberporn,,0.25,positive
580,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,__jxoo,NYC 🇩🇴,0.25,positive
583,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",maxJone88549114,,0.25,positive
584,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,johnbla43361534,,0.8,positive
586,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",AmyDeeGee,,0.5,positive
588,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,CindyRaeCha,,0.25,positive
589,RT @DrEricDing: Folks—sleep easy tonight. We’re good now. https://t.co/I98PNOpijk,PensionPython,Illinois,0.566666667,positive
591,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,osvntos10,twitch.tv/osantos10,0.25,positive
592,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,MaddieManalo,constant paranoia ,0.25,positive
593,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,kbunde1,United States,0.1,positive
594,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,advoteen2264,"Connecticut, USA",0.25,positive
597,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,yahboi_q,,0.25,positive
598,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,dntcallmecindy,"Chicago, IL",0.25,positive
599,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mckenna_gesch,,0.25,positive
602,"I'm Joe Frazier 🥊...

I didn't float like a butterfly 🦋 but I stung like a bee 🐝 

I stood toe to toe and knocked em down in three

Now that I've passed to the Great Beyond;

I voted for Joe Biden bcs I'm Philly Strong 💪 https://t.co/T9YOPxvrLJ",BillPegs,"New York, USA",0.359259259,positive
604,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,thoushalltwerk,,0.25,positive
605,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,mypaintedlips,"Erotic City, ;-} ",0.25,positive
606,"“Officials have called this election decisively for Joe Biden the president elect”

There you go @jack and @Twitter I fixed it for ya. https://t.co/1NSHS6c5tU",PaulStewartII,"Toronto, Canada",0.45,positive
608,RT @GeoffRBennett: NBC News: Joe Biden is the apparent winner of Georgia.,DumbTweetsDumb1,,0.05,positive
610,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,sjyellehS,off,0.25,positive
611,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kesanpo,,0.25,positive
612,"RT @nytimes: “Black women did that,” said Abby Phillip, a CNN correspondent, on Nov. 6, the day before victory would be declared for Joe Bi…",_Autumn_Mariie,In my doggy bag,-0.166666667,negative
614,"RT @MaryLTrump: President-elect Joe Biden won legitimately and decisively. No matter how much Donald and his enablers lie and spin, nothing…",RoseBeckley,"Edina, MN",0.2,positive
615,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Elbell1100,"New York, USA",0.25,positive
616,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,pur_luxe,,0.25,positive
618,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,SacredJourneyD,USA,0.8,positive
619,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",moriss_ann,,1,positive
620,"RT @OhNoSheTwitnt: Trump was willing to meet with Kim Jong-un, Vladimir Putin, and the Taliban, but is refusing to meet with Joe Biden.",Sanlin,"British Columbia, Canada",0.25,positive
621,"""But Trump's been horrible to civilian populations all over the world!""

Agreed. So why weren't you screaming ""FASCIST!"" when the butchers behind Iraq, Libya &amp; Yemen were trotted out at Joe Biden's convention?",jessecrall,Los Angeles,-0.7,negative
622,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,Bre64G,"Kentucky, USA",0.05,positive
623,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ChristineCSE,DE,0.25,positive
624,RT @jimsciutto: New: Two judges in Pennsylvania tossed half a dozen court cases the Trump campaign had brought to invalidate thousands of v…,sclay318,,-0.015151515,negative
627,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,josieavonell,"Spokane, WA",0.25,positive
630,"@eel25605993 @HKrassenstein Hahaha, the supreme court of justice can do it, because media says that Joe Biden is the winner and that's Fake, Joe Biden is a great crazy, in January supreme court of justice will say it.",usmarineseals,,-0.025,negative
631,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,suzette2k,"Maryland, USA",0.25,positive
633,RT @aklimczak: @DanScavino No way in hell would I ever believe sleepy joe Biden and heels up Harris ever won this election fair and square…,Zakkydo,,0.7,positive
635,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,annieb8101,"North Carolina, USA",0.8,positive
636,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,DeverGorka,,0.25,positive
639,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,bee_angelle,"New Orleans, LA",0.25,positive
640,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,meadllar,Canada,-0.15,negative
641,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,marissycam,"Temecula, CA",0.25,positive
643,RT @MattWalshBlog: The coronavirus disproportionately kills those who are 75 and older. Joe Biden's coronavirus adviser has argued in the p…,RocketMom5300,,0.166666667,positive
644,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,deinabeina,"East Coast, USA ",0.25,positive
645,"@realDonaldTrump 306.  

Joe Biden.  

Massive Landslide.  

Historic voter turnout.  

Blowout of Popular Vote by 5+ Million.

Donald Fired—SORE LOSER! https://t.co/t3fguu4Een",RAGreen7,,0.25,positive
646,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",cherirae272,"Grants Pass, OR",0.2,positive
647,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,vanessaaaglz,"Los Angeles, CA",0.25,positive
649,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,usesquire18,United States,0.8,positive
652,"RT @nytimes: “Black women did that,” said Abby Phillip, a CNN correspondent, on Nov. 6, the day before victory would be declared for Joe Bi…",zebbook,"Washington, DC",-0.166666667,negative
654,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",meganmoody24,,0.2,positive
656,Trump Fine With Letting Countless Americans Die From COVID-19 So He Can Pretend He’s Getting a Second Term https://t.co/NUpvO2wj4y #SmartNews,dkcu_f,"SW Florida, USA",0.138888889,positive
657,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,TopherThomas7,"Earth, Solar System",0.8,positive
658,RT @AzumiKondo: Joe Biden do be lookin sexy tho-- 👀🥴,StretchySmol,single - ship / SFW,0.5,positive
659,"If @realDonaldTrump were to run for President again in 2024, he would be about the same age as Joe Biden is now, who he claims is too old, making himself look like a hypocrite.",scottybuzz73,,0.05,positive
660,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,RockyDiazRix,Halloweentown ,0.25,positive
661,"RT @PalmerReport: Trump just tweeted ""we win the State of Pennsylvania!""

Twitter slapped a disclaimer on it with a link that says ""Joe Bid…",Darlene75124200,"California, USA",1,positive
662,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,SEBASTIANBLU97,Dimmsdale Dimmadome,0.25,positive
663,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,LaurenLizzie95,"Houston, TX",0.25,positive
664,"@Allie78758119 @Kat99066903 @GrinkoAurel @JoeBiden No, I'm very familiar with Alzheimer's. I'm referring to the stutter that Joe Biden has addressed many times over the years. He has always been open about it. Hence why no one really feels the need to point it out.",JennaJade810,Philadelphia,0.138942308,positive
668,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",MSH_Dave,,0.5,positive
669,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,G_Na002,"heaven on earth, NYC",0.25,positive
671,"'Barely literate' Joe Biden should never have accepted nomination https://t.co/EEOWflqurw via @YouTube 

What can you say? All sane people know the man has dementia. 

If I were an elector in Penn., Mich. or any other state Trump really won, I'd cast my vote for the president.",SelwynDuke,,0.041666667,positive
672,"RT @ielizabeth_: The things Joe Biden does to young girls are the exact same things that my predator did to me. 

You are absolute scum if…",Hammy_VII,,0.05,positive
673,"@ValKHeadley @realDonaldTrump Most are criminals and belong in jail.  They stole this election right under our noses using trained illegal ballot signers in the thousands.  You just don’t get 95,000 checked off for one candidate and one candidate only by the name of Joe Biden!",JerseyBoy323,"Hamilton, NJ",0.037142857,positive
674,"@DanScavino @realDonaldTrump The crowds, the support, the movement.....no way on Gods green earth joe biden won, soon the world will see the truth",danielwillcox13,United States,-0.2,negative
676,RT @itsJeffTiedrich: I look forward to having no idea who Joe Biden's postmaster general is,RyanCaseyWA,"Seattle, WA",0.05,positive
677,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,kip_dynamiite,ur wallet stealing ur coupons,0.25,positive
679,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,Flaurilox,Canada,0.8,positive
681,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,himaggiexo,,0.25,positive
682,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Cristina1974,,0.25,positive
683,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,caitrinH,"Toronto, Ontario",0.25,positive
684,"RT @maggieNYT: NEW - Trump has put Rudy Giuliani in charge of his campaign lawsuits related to the outcome of the election, as well as all…",stitchkingdom,Disney News,0.068181818,positive
686,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",79Wagonator,"Long Island, NY",0.2,positive
688,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,JayLegend13,"San Jose, California ✈️",0.25,positive
689,RT @PattyArquette: Joe Biden is our new President. End of story.,upstate_dog,,0.136363636,positive
690,"RT @RBReich: Thanks to communities of color, Joe Biden flipped 5 states.

He must never forget who delivered him the presidency.",SspetersonSandy,,0.2,positive
691,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,darosaaaaa,,0.25,positive
692,RT @ndtv: Biden Wins White House With 306 Electoral Votes To Trump's 232: Report https://t.co/q5tksfDtXH https://t.co/ta8RyBSqjm,BreakiNews,Bhaktistan,0.15,positive
694,RT @PattyArquette: Joe Biden is our new President. End of story.,cherirae272,"Grants Pass, OR",0.136363636,positive
696,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,tyrus_via,"LGBTQ+ || ACAB, BLM || 16",0.25,positive
697,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,ShannnonL,,0.25,positive
698,RT @SteveSchmidtSES: Let’s be clear. Joe Biden is the President-Elect of the United States. The refusal of Republicans to acknowledge this…,RymanJoy,,0.1,positive
701,"@jaketapper Lol do you understand that even if you install Joe Biden to try to push forward global communism, it will not matter? Everyone knows what and who you people are now. The people of the globe know you are the manufacturers of disaster.",JacobBa34504000,,0.4,positive
702,RT @AlanaKStewart: Is Joe Biden ever going to hold a real press conference and is the media ever going to ask him any tough questions? Ever?,kejks234,,-0.094444444,negative
703,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,Jenn2064,,0.8,positive
704,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,Goodi2shews,Texasana ,0.25,positive
706,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,danahall26,"Knoxville, TN",0.25,positive
708,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,rachael_weldon,,0.25,positive
709,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",SuckUsernames,,0.2,positive
710,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,sarahstreet_,"Tennessee, USA",0.25,positive
711,"RT @tbonier: Here's an incredible stat: I've mentioned that 114,017 AAPI voters cast an early vote in GA this year, 56% more than the 72,69…",samanthajfletch,Boston University,0.5,positive
715,"RT @nytimes: “Black women did that,” said Abby Phillip, a CNN correspondent, on Nov. 6, the day before victory would be declared for Joe Bi…",krawensoul,,-0.166666667,negative
716,Right now every American citizen has as many Electoral College votes as Joe Biden. His title and his office are like the emperor’s new clothes.,Calvinist_Yarg,Earth,0.230519481,positive
718,"RT @NBCNews: BREAKING: Joe Biden is the apparent winner in Georgia, according to the NBC News Decision Desk. https://t.co/ZsIGWgI2lL",cherirae272,"Grants Pass, OR",0.05,positive
719,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,_amirisis,,0.25,positive
720,"RT @MarieMyungOkLee: Because he did such a great job with the Four Seasons/dildo store/crematorium presser 

https://t.co/1jfHU0xZKq",plpkpr,,0.4,positive
721,"RT @Nate_Cohn: It's final: Joe Biden 306, Donald Trump 232
Biden wins Georgia. 
Trump wins North Carolina. https://t.co/pc1wRYJmG7",STLLeftWing,"Saint Louis, Missouri, United States",0.2,positive
723,"RT @RealMelcolmX: DEEPFAKE CAMPAIGN?

@Andywarski and Kyler break down footage from the Joe Biden recording played at the fake speech  even…",cO5eJM5RnwPgOOy,日本 大阪,-0.327777778,negative
724,RT @kylegriffin1: President-elect Joe Biden's return to 'normalcy' will include restoring the daily press briefing — and at least two women…,PamUnplugged,Connecticut,-0.15,negative
725,"RT @RealMiniAOC: If you have a problem figuring out whether you're for Joe Biden, then you ain't dead.",Melchizedek_3,,-0.2,negative
726,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,barbmullings,"Colorado, USA",0.25,positive
727,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,mommybizblog,"Colorado, USA",0.8,positive
728,UNACCEPTABLE AND UNREASONABLE. JOE BIDEN WON FAIR AND SQUARE WITH MORE VOTES THAN DONALD TRUMP AND THIS CANNOT CHANGE. stop being a FUCKING CHILD DONALD AND GROW THE FUCK UP YOU LOST AND THATS IT. AND THATS ON FUCKING ASS PERIODT,pxstellx,location,-0.08,negative
729,RT @joncoopertweets: A Michigan state judge has rejected an attempt by two poll challengers to block the certification of Joe Biden’s win i…,DianneVidotto,Canada,0.8,positive
731,RT @TimFullerton: Here is Joe Biden ending Rudy Giuliani's presidential campaign in 2007 with one of the greatest burns of all time. https:…,WendyCu06641694,,1,positive
734,RT @umairh: Congrats to Joe Biden for winning the Presidency for the fourth time this week,theoriginaljrey,"Syracuse, NY",0.25,positive
